OTU	Dry_F_1	Dry_N_1	Wet_F_1	Wet_N_1	Dry_F_2	Dry_N_2	Wet_F_2	Wet_N_2	Dry_F_3	Dry_N_3	Wet_F_3	Wet_N_3	Dry_F_4	Dry_N_4	Wet_F_4	Wet_N_4	Dry_F_5	Dry_N_5	Wet_F_5	Wet_N_5
ASV_591	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_592	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_593	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ASV_594	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
ASV_595	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0
ASV_596	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_597	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0
ASV_598	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_599	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_600	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0
ASV_601	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
ASV_602	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
ASV_603	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
ASV_604	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_605	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_606	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
ASV_607	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_608	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
ASV_609	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
ASV_610	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_611	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_612	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_613	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_614	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_615	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_616	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_617	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_618	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
ASV_619	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_620	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
ASV_621	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0
ASV_622	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_623	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
ASV_624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1
ASV_626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
ASV_628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
ASV_631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_632	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_633	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ASV_634	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ASV_635	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_636	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_637	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_638	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ASV_639	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_640	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_641	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_642	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_643	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ASV_644	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_645	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_646	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_647	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_648	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_649	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_650	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_651	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_652	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_653	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ASV_654	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_655	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_656	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_657	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_658	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_659	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_660	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ASV_661	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_662	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_663	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_664	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_665	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ASV_666	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_667	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_668	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_669	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_670	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_671	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ASV_672	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_673	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_674	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_675	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_676	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_677	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_678	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_679	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_680	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_681	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_682	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_683	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_684	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_685	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_686	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ASV_687	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_688	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_689	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_690	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_691	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_692	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ASV_693	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_694	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_695	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_696	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_697	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ASV_698	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ASV_699	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ASV_700	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_701	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_702	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_703	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_704	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_705	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ASV_706	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ASV_707	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_708	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_709	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_710	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_711	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ASV_712	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_713	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_714	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_715	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_716	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_717	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_718	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_719	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_720	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ASV_721	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_722	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_723	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_724	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ASV_725	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_726	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_727	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_728	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV_729	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_730	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ASV_731	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ASV_732	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_733	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ASV_734	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_735	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_736	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_737	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_738	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_739	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_740	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_741	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_742	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_743	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_744	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ASV_745	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_746	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_747	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_748	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ASV_749	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_750	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_751	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_752	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_753	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_754	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ASV_755	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ASV_756	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_757	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_758	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_759	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_760	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_761	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_762	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
ASV_763	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_764	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
ASV_765	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_766	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
ASV_767	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
ASV_768	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ASV_769	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
ASV_770	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
ASV_771	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_772	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
ASV_773	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
ASV_774	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
ASV_775	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
ASV_776	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
ASV_777	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
ASV_778	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_779	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
ASV_780	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ASV_781	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
ASV_782	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
ASV_783	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ASV_784	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
ASV_785	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_786	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
ASV_787	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
ASV_788	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ASV_789	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
ASV_790	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
ASV_791	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ASV_792	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
ASV_793	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
ASV_794	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ASV_795	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
ASV_796	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_797	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_798	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
ASV_799	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
ASV_800	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
ASV_801	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
ASV_802	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
ASV_803	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_804	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ASV_805	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_806	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
ASV_807	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_808	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_809	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
ASV_810	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ASV_811	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ASV_812	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_813	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_814	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_815	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_816	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_817	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ASV_818	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ASV_819	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_820	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_821	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
ASV_822	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ASV_823	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ASV_824	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_825	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_826	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
ASV_827	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
ASV_828	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ASV_829	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_830	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_831	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_832	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
ASV_833	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
ASV_834	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_835	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_836	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_837	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_838	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ASV_839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
ASV_840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ASV_843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ASV_848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
ASV_851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
ASV_853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
ASV_854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
ASV_863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
ASV_864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_876	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_877	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_878	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_879	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_880	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_881	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_882	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_883	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_884	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_885	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_886	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_887	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_888	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_889	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_890	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
